Manager,Fund,Date,Change
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-05-01,-0.0016
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-06-01,-0.0487
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-07-01,-0.0416
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-08-01,0.0046
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-09-01,-0.0086
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-10-01,-0.0214
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-11-01,-0.0109
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2021-12-01,0.0148
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-01-01,0.0069
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-02-01,-0.0414
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-03-01,0.0042
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-04-01,-0.0042
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-05-01,0.0018
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-06-01,-0.0408
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-07-01,-0.0099
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-08-01,0.0092
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-09-01,-0.0354
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-10-01,0.0049
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-11-01,0.0313
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2022-12-01,0.0201
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-01-01,-0.0037
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-02-01,-0.0013
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-03-01,0.0128
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-04-01,-0.0104
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-05-01,-0.0246
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-06-01,0.0458
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-07-01,0.0145
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-08-01,0.0398
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-09-01,-0.0299
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-10-01,-0.0204
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-11-01,0.0741
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2023-12-01,-0.0234
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-01-01,0.0317
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-02-01,0.0090
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-03-01,0.0062
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-04-01,-0.0045
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-05-01,-0.0225
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-06-01,0.0489
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-07-01,0.0639
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-08-01,-0.0072
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-09-01,0.0035
Castlefield Associates,Castlefield Global Systematic Alpha Returns,2024-10-01,-0.0344
